Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;log2;
2;500;10;4;sqrt;20.0
3;200;5;1;sqrt;20.0
4;100;2;1;log2;
5;300;10;1;sqrt;
6;200;2;4;0.3;
7;100;2;2;sqrt;20.0
8;100;2;1;log2;10.0
9;100;5;2;0.3;10.0
10;300;2;2;log2;10.0
11;200;5;4;log2;20.0
12;300;2;1;log2;10.0
13;500;5;1;sqrt;20.0
14;300;10;2;sqrt;
15;300;2;2;sqrt;20.0
16;200;5;1;sqrt;
17;100;2;4;sqrt;10.0
18;300;5;4;log2;10.0
19;200;5;4;sqrt;10.0
20;500;2;1;0.3;20.0
21;100;10;1;log2;10.0
22;100;10;2;log2;20.0
23;500;5;4;0.3;10.0
24;300;2;1;log2;
25;500;2;4;sqrt;
26;100;2;1;sqrt;10.0
27;200;2;4;sqrt;10.0
28;500;2;2;log2;10.0
29;100;2;4;sqrt;
30;500;5;4;sqrt;
