Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;log2;10.0
2;300;10;2;0.3;10.0
3;300;5;1;log2;20.0
4;200;10;1;0.3;20.0
5;300;2;2;sqrt;20.0
6;300;5;1;sqrt;10.0
7;500;10;2;sqrt;20.0
8;500;2;2;sqrt;20.0
9;300;5;4;0.3;
10;200;5;4;0.3;
11;200;10;4;0.3;20.0
12;300;2;1;0.3;
13;200;2;4;sqrt;10.0
14;100;5;2;sqrt;10.0
15;500;2;1;log2;10.0
16;300;2;4;0.3;
17;300;5;2;sqrt;10.0
18;200;10;2;log2;20.0
19;500;2;4;sqrt;
20;500;2;1;sqrt;20.0
21;200;5;2;log2;10.0
22;100;5;4;log2;20.0
23;500;5;4;log2;
24;500;2;4;log2;20.0
25;100;10;4;0.3;20.0
26;500;5;1;sqrt;
27;100;5;1;sqrt;
28;100;5;1;log2;10.0
29;300;10;1;log2;20.0
30;500;5;4;sqrt;20.0
