Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;312441;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.8456;2.6493;0.8937;2.2251;3.12
2;705360;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.8237;2.8503;0.8785;2.2716;2.9184
3;760324;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.8565;2.6019;0.6932;3.4667;1.8361
4;833464;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.8236;2.9091;0.8695;2.1569;2.815
5;776244;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.8377;2.6655;0.8245;3.0568;2.4281
6;19559;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.8713;2.4922;0.7309;3.0842;1.9606
7;80439;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.8573;2.4955;0.8293;2.9439;2.462
8;65579;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.8421;2.7733;0.7791;2.6166;2.1641
9;648368;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.8295;2.7799;0.8537;2.5875;2.6588
10;860539;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.8102;2.8787;0.8796;2.5059;2.9313
