Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;10.0
2;300;10;2;log2;10.0
3;300;5;4;log2;20.0
4;100;10;2;0.3;10.0
5;200;5;4;0.3;20.0
6;200;2;2;log2;10.0
7;200;10;4;0.3;10.0
8;100;10;4;sqrt;
9;100;10;4;0.3;10.0
10;500;2;1;0.3;20.0
11;100;10;4;log2;20.0
12;300;10;4;sqrt;
13;300;10;2;sqrt;
14;200;2;1;log2;20.0
15;200;2;4;0.3;20.0
16;100;10;1;0.3;
17;300;5;4;0.3;10.0
18;300;10;2;log2;
19;100;10;1;log2;20.0
20;500;10;4;log2;
21;200;2;4;sqrt;20.0
22;100;2;2;log2;10.0
23;300;2;4;sqrt;10.0
24;200;2;2;log2;20.0
25;500;2;4;log2;20.0
26;500;10;2;sqrt;
27;200;10;1;log2;10.0
28;300;10;4;log2;20.0
29;200;10;2;0.3;20.0
30;500;5;4;sqrt;10.0
