Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;log2;10.0
2;500;5;2;sqrt;20.0
3;100;5;4;0.3;10.0
4;200;5;2;sqrt;10.0
5;300;10;4;0.3;20.0
6;300;2;1;0.3;10.0
7;200;10;4;sqrt;20.0
8;100;5;2;sqrt;
9;300;10;4;log2;20.0
10;100;5;1;sqrt;10.0
11;200;5;2;log2;
12;300;2;1;sqrt;10.0
13;100;5;4;log2;20.0
14;200;2;1;log2;
15;300;10;2;0.3;10.0
16;200;2;2;log2;10.0
17;100;2;1;sqrt;20.0
18;500;2;2;log2;10.0
19;100;2;1;log2;20.0
20;500;5;2;sqrt;
21;100;10;2;0.3;20.0
22;100;2;4;log2;20.0
23;500;10;1;sqrt;20.0
24;200;2;2;sqrt;20.0
25;200;5;2;0.3;
26;300;5;2;0.3;10.0
27;200;5;2;log2;10.0
28;500;2;2;sqrt;10.0
29;500;10;1;0.3;10.0
30;200;2;2;log2;20.0
