Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;sqrt;10.0
2;500;10;1;sqrt;10.0
3;300;5;4;0.3;10.0
4;500;10;1;sqrt;20.0
5;100;5;1;log2;20.0
6;200;5;4;log2;10.0
7;200;2;1;log2;
8;200;2;4;log2;10.0
9;500;2;2;sqrt;
10;100;10;1;0.3;20.0
11;100;2;2;sqrt;10.0
12;500;2;4;sqrt;
13;200;2;2;log2;
14;100;5;1;0.3;20.0
15;200;2;2;log2;20.0
16;500;10;4;log2;10.0
17;100;10;1;0.3;
18;300;10;2;0.3;
19;100;2;2;log2;20.0
20;500;2;1;log2;20.0
21;500;10;2;0.3;10.0
22;300;2;1;sqrt;10.0
23;300;10;4;log2;10.0
24;200;10;4;0.3;20.0
25;100;10;4;0.3;20.0
26;100;5;1;log2;
27;200;2;2;sqrt;
28;300;2;2;0.3;
29;200;5;1;log2;20.0
30;200;2;2;sqrt;20.0
