VitaSPEC;Type_Essai;Origine-Pays;Origine-PRO;Croisement;Genotype ID VitaPALM;Orgen;Station;trait;Annee Plantation;plot ;Parcelle;Ligne;Arbre;Matricule-PE;obs 19/02/25;ech;Matricule-DIADE;MF (mg);MS (mg) Silicagel;TE1 (%MF);Nb fruit;Nb copeaux;date de collecte;date de spectre (meso et exo);Note;Serie 1 Meso Amel ;;
Diversite;PRO;CI;La Mé;(LM 10 T AF);;PO 14827;PO;-;2015;;24;;;PO-24-22-6-2015;;M130;24-L22-A6;987;702,0;29;1;3;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 5 T AF);;PO 13633;PO;-;2014;;24;;;PO-24-2-5-2014;;M131;24-L2-A5;1130;872,1;23;1;2;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 5 T AF);;PO 13633;PO;-;2014;;24;;;PO-24-2-4-2014;;M132;24-L2-A4;1055;809,8;23;1;3;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 2 T AF) x (LM 5 T AF);;PO 13702;PO;-;2014;;24;;;PO-24-9-9-2014;;M133;24-L9-A9;990;728,7;26;1;7;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 2 T x LM 10 T);;PO 14518;PO;-;2015;;24;;;PO-24-19-10-2015;;M134;24-L19-A10;933;740,7;21;1;3;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 5 T x LM 10 T);;PO 14935;PO;-;2015;;24;;;PO-24-21-7-2015;;M135;24-L21-A7;1109;894,2;19;1;2;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 10 T AF);;PO 14827;PO;-;2015;;24;;;PO-24-22-2-2015;;M136;24-L22-A2;908;579,9;36;1;3;28/03/2024;29/03/2024;;;;
Diversite;PRO;CI;La Mé;(LM 10 T AF);;LM 2764;PO;-;1971;;416;;;PO-416-12-28-1971;;M137;416-L12-A28;1040;780,7;25;1;3;29/03/2024;29/03/2024;;M137;La Mé;
Diversite;PRO;CI;La Mé;(LM 5 T AF);;LM 8010;PO;-;1979;;444;;;PO-444-19-18-1979;;M138;P444-L19-A18;976;786,9;19;1;2;29/03/2024;29/03/2024;;M138;La Mé;
Diversite;PRO;CI;La Mé;(LM 5 T AF);;LM 8010;PO;-;1979;;444;;;PO-444-19-1-1979;;M139;P444-L19-A1;1458;1165,1;20;1;2;29/03/2024;29/03/2024;;;;
