code_nirs;Code_chimie;C14:0;C16:0;C18:0;C18:1n9;C18:1n7;C18:2;C18:3;C20:0
M243-P323-L19-A8;M243-G19-8;0,4;41,6;6,1;42,1;0,7;8,7;0,1;0,5
M25-P454-L2-A8;M25-M2-8;0,7;41,6;4,5;42,1;0,6;9,9;0,4;0,3
M274-P24-L5-A1;M274-E5-1;1,0;46,8;4,5;37,1;1,5;8,7;0,0;0,4
M275-P153-L7-A9;M275-Q7-9;0,1;26,0;8,2;55,8;0,0;9,0;0,4;0,5
M276-P153-L7-A21;M276-Q7-21;0,3;32,5;7,6;46,5;0,8;11,0;0,5;0,6
M278-P433-L33-A8;M278-S33-8;0,2;30,9;10,7;49,8;0,4;7,1;0,3;0,6
M280-P117-L16-A2;M280-P16-2;1,3;40,1;5,0;42,1;1,4;9,3;0,4;0,4
M29-P454-L2-A10;M29-M2-10;0,5;43,4;4,5;44,6;0,7;5,9;0,0;0,4
M2-P333-L14-A8;M2-H14-8;0,2;26,3;6,2;59,7;0,6;5,8;0,7;0,5
M31-P454-L1-A4;M31-M1-4;0,8;43,9;2,9;41,3;1,8;8,6;0,4;0,4
M32-P454-L6-A5;M32-M6-5;0,9;41,0;4,9;45,4;0,8;6,3;0,3;0,5
M35-P454-L2-A13;M35-M2-13;1,9;45,9;4,9;35,4;0,6;10,3;0,5;0,5
M38-P454-L1-A16;M38-M1-16;1,3;48,6;4,9;35,3;1,4;7,6;0,3;0,5
M40-P454-L5-A7;M40-M5-7;0,4;39,3;4,7;46,4;0,7;8,0;0,1;0,4
M45-P553-L36-A15;M45-O36-15;0,7;43,4;3,7;41,5;1,6;8,3;0,3;0,4
M46-P454-L13-A10;M46-M13-10;1,4;45,3;3,5;40,2;1,3;7,5;0,4;0,4
M48-P454-L8-A14;M48-M8-14;1,2;47,2;3,6;39,0;0,8;7,9;0,1;0,2
M49-P553-L39-A8;M49-O39-8;1,8;49,2;3,5;33,6;1,4;9,9;0,3;0,4
M51-P454-L14-A11;M51-M14-11;1,6;47,0;3,4;39,1;1,6;6,8;0,4;0,1
M69-P321-L1-A11;M69-F1-11;0,9;42,8;4,6;40,6;0,6;9,7;0,3;0,5
M6-P333-L20-A13;M6-H20-13;0,3;37,5;7,4;44,1;1,1;9,0;0,1;0,6
M70-P113-L31-A18;M70-B31-18;1,4;41,1;4,2;44,0;0,0;8,5;0,5;0,4
M72-P113-L33-A24;M72-B33-24;0,8;45,2;5,0;39,9;1,3;6,9;0,4;0,5
M73-P113-L28-A19;M73-B28-19;0,4;33,2;7,1;52,5;0,0;6,1;0,3;0,4
M74-P113-L32-A21;M74-B32-21;0,5;38,8;9,0;38,8;0,8;11,1;0,3;0,6
M79-P113-L2-A6;M79-B2-6;0,6;39,8;4,0;49,0;1,6;4,0;0,5;0,4
M7-P333-L17-A10;M7-H17-10;0,2;29,4;7,4;55,2;1,2;5,9;0,4;0,5
M81-P113-L27-A13;M81-B27-13;1,2;44,0;4,4;38,2;1,3;10,4;0,2;0,3
