ech;FFA(%)
1-HR-1-1;8,11685665553347
10-HR-2-5;5,24023249619369
100-HR-25-5;10,7652658230152
101-HR-25-6;15,3069507965949
102-HR-25-7;3,19995027343775
103-HR-25-8;8,48881288122193
104-HR-25-9;8,43794534165982
105-HR-25-10;7,08896070411112
106-HR-25-11;26,4894938296055
107-HR-25-12;24,1174880687623
108-HR-25-13;7,48813119529909
109-HR-25-14;16,7555413995833
11-HR-2-6;7,03723545582015
110-HR-25-15;10,6040460012893
111-HR-25-16;6,56457679447292
112-HR-26-1;7,66437201129804
113-HR-26-2;9,99125436129341
114-HR-26-3;4,29445355146559
116-HR-27-1;9,05046061490303
117-HR-27-2;9,16142970282678
12-HR-2-7;12,1226083430629
13-HR-3-1;7,08544490970126
14-HR-3-2;12,5068748888638
15-HR-3-3;7,00990510060181
16-HR-4-1;16,573457788807
17-HR-4-2;12,7533912032506
18-HR-4-3;13,6475442848061
19-HR-5-1;6,57009318690377
2-HR-1-2;10,9050814927046
20-HR-5-2;4,11040404063974
21-HR-5-3;8,84900450996092
22-HR-5-4;11,2340790783246
23-HR-6-1;7,64157154652561
24-HR-7-1;10,8583549348972
25-HR-7-2;8,22242911795488
26-HR-7-3;8,78020421103776
27-HR-7-4;10,0792289931071
28-HR-7-5;11,3456122941311
29-HR-7-6;8,08003206474189
3-HR-1-3;8,93774161800286
30-HR-7-7;7,79667674211858
31-HR-7-8;6,15045538085843
32-HR-7-9;6,21702942802178
33-HR-8-1;12,7960557107423
35-HR-8-3;11,4821786516193
36-HR-9-1;6,56900407192938
37-HR-9-2;6,70996402164272
38-HR-10-1;7,68832655946787
4-HR-1-4;7,81586997653205
40-HR-10-3;2,69252623718307
41-HR-10-4;12,1392734075122
42-HR-10-5;15,6370087861766
43-HR-11-1;15,1040475898932
44-HR-11-2;9,64142510963582
45-HR-11-3;10,9515360466173
46-HR-11-4;9,52776899611944
47-HR-11-5;15,1345250716721
48-HR-12-1;12,1329118078226
49-HR-12-2;24,737349066571
5-HR-1-5;9,21872216386174
51-HR-12-4;2,26886803274687
52-HR-12-5;12,171227047061
53-HR-12-6;9,515124420511
54-HR-12-7;18,781382727694
55-HR-12-8;6,96631732979316
56-HR-12-9;12,6158288088355
57-HR-12-10;17,2182695425544
58-HR-12-11;21,6399730790968
59-HR-13-1;5,52259110521294
6-HR-2-1;9,20577191577125
60-HR-13-2;9,23262502120586
61-HR-13-3;8,42156491894035
62-HR-13-4;5,75791714113483
63-HR-14-1;14,1445508726744
64-HR-14-2;21,7370134493161
65-HR-14-3;11,2738672875234
66-HR-15-1;9,24986457830708
67-HR-12-12;35,9172534753464
68-HR-16-1;5,52113777309814
69-HR-16-2;13,0598086557421
7-HR-2-2;8,45479309799646
70-HR-16-3;8,68262808010131
71-HR-16-4;4,10097432688874
72-HR-17-1;22,3953986615529
73-HR-18-1;1,1425303910374
74-HR-19-1;9,73224049733572
75-HR-19-2;9,56025808490728
76-HR-19-3;16,8083462897059
77-HR-20-1;9,70206017015765
78-HR-20-2;24,4392630178116
79-HR-20-3;5,62260735768824
8-HR-2-3;6,47750165071456
80-HR-20-4;28,6513181401739
81-HR-20-5;14,5150308504828
82-HR-20-6;25,1938666070527
83-HR-20-7;17,5724047763787
84-HR-20-8;15,2626350626085
85-HR-20-9;13,1389140294189
86-HR-20-10;12,7129655267067
88-HR-21-1;6,46300436859696
89-HR-22-1;17,6773330776967
9-HR-2-4;8,73655247635911
90-HR-23-1;18,6407251424274
91-HR-23-2;6,03826890567859
92-HR-23-3;18,7234305979348
94-HR-24-2;9,53854667459005
95-HR-24-3;14,1075227232437
96-HR-25-1;4,93818303776714
97-HR-25-2;3,69472067775742
98-HR-25-3;24,0390753842125
99-HR-25-4;4,23173914596033
