code_nirs;code_chimie;trans-alpha-carotne;trans-beta-carotene;13 cis-beta-carotene;9 cis-beta-carotene;total beta-carotenes;total carotenes
M121-P152-L5-A13;M121-C5-13;145;95;10;21;127;271
M123-P24-L17-A9;M123-E17-9;278;280;33;57;370;648
M137-P416-L12-A28;M137-I12-28;446;1052;89;217;1358;1803
M138-P444-L19-A18;M138-L19-18;61;126;34;35;195;257
M223-P113-L36-A6;M223-B36-6;655;972;146;277;1394;2049
M224-P113-L37-A18;M224-B37-18;120;292;23;88;403;523
M225-P113-L38-A20;M225-B38-20;274;871;55;193;1119;1394
M228-P113-L27-A20;M228-B27-20;157;205;28;50;283;440
M229-P113-L26-A9;M229-B26-9;122;218;42;56;315;438
M231-P323-L16-A5;M231-G16-5;156;194;37;32;263;418
M232-P323-L15-A5;M232-G15-5;144;294;40;67;401;545
M241-P323-L20-A17;M241-G20-17;798;782;84;193;1059;1857
M242-P323-L18-A18;M242-G18-18;416;252;47;92;391;807
M243-P323-L19-A8;M243-G19-8;188;248;68;72;387;575
M274-P24-L5-A1;M274-E5-1;136;86;46;33;165;302
M276-P153-L7-A21;M276-Q7-21;361;911;77;272;1259;1621
M278-P433-L33-A8;M278-S33-8;97;260;16;33;309;406
M280-P117-L16-A2;M280-P16-2;376;266;56;70;392;768
M141-P407-L40-A3;M141-R40-3;125;91;25;18;133;258
M142-P407-L38-A6;M142-R38-6;25;35;3;7;46;71
M144-P407-L32-A5;M144-R32-5;1530;765;155;91;1011;2541
M145-P407-L24-A6;M145-R24-6;99;105;10;34;149;249
M148-P407-L37-A6;M148-R37-6;149;239;11;21;272;421
M149-P407-L18-A7;M149-R18-7;108;167;8;16;190;298
M150-P407-L36-A6;M150-R36-6;319;392;19;28;439;758
M153-P407-L38-A5;M153-R38-5;119;99;7;18;124;243
M154-P407-L39-A14;M154-R39-14;1081;631;35;106;773;1853
M157-P407-L39-A10;M157-R39-10;1239;639;134;116;889;2128
M158-P407-L37-A7;M158-R37-7;126;206;14;22;242;368
M159-P407-L37-A8;M159-R37-8;189;264;20;35;318;507
M161-P407-L38-A16;M161-R38-16;436;279;18;49;346;782
M164-P407-L30-A9;M164-R30-9;395;416;29;49;494;890
M170-P407-L33-A7;M170-R33-7;923;417;43;64;524;1447
M173-P407-L34-A9;M173-R34-9;103;119;8;17;145;248
M174-P407-L34-A16;M174-R34-16;222;364;20;23;407;630
M175-P407-L32-A2;M175-R32-2;319;332;24;36;391;710
M177-P407-L31-A15;M177-R31-15;1265;970;46;129;1145;2409
M178-P407-L31-A13;M178-R31-13;762;1029;98;88;1214;1976
M182-P407-L21-A4;M182-R21-4;975;929;93;103;1126;2100
M183-P407-L20-A2;M183-R20-2;1605;1032;152;162;1346;2951
M190-P407-L19-A3;M190-R19-3;128;255;9;22;286;414
M192-P407-L22-A11;M192-R22-11;62;90;7;16;114;176
M193-P407-L23-A3;M193-R23-3;393;632;25;35;691;1084
M196-P407-L22-A13;M196-R22-13;155;153;42;49;245;400
M198-P407-L20-A12;M198-R20-12;171;259;9;49;317;488
M200-P407-L22-A2;M200-R22-2;489;449;19;58;525;1014
M204-P407-L25-A3;M204-R25-3;286;340;15;27;381;667
M209-P407-L23-A7;M209-R23-7;477;337;25;32;395;872
M212-P407-L27-A10;M212-R27-10;110;172;11;17;200;310
M217-P407-L29-A3;M217-R29-3;273;237;15;39;292;565
M219-P407-L25-A7;M219-R25-7;188;216;15;48;280;468
M220-P407-L29-A8;M220-R29-8;208;237;10;23;271;478
M246-P407-L15-A16;M246-R15-16;488;252;19;40;311;799
M247-P407-L18-A13;M247-R18-13;550;640;54;67;761;1311
M248-P407-L16-A7;M248-R16-7;1338;455;63;110;628;1965
M250-P407-L15-A15;M250-R15-15;111;202;16;28;246;357
M251-P407-L17-A13;M251-R17-13;178;272;15;23;309;488
M253-P407-L16-A16;M253-R16-16;277;281;17;27;326;602
M255-P407-L16-A14;M255-R16-14;123;120;7;28;155;278
M258-P407-L18-A4;M258-R18-4;378;417;16;32;464;842
M260-P407-L17-A14;M260-R17-14;493;547;23;73;643;1137
M262-P407-L15-A5;M262-R15-5;369;185;12;44;240;610
M263-P407-L17-A2;M263-R17-2;590;741;37;49;827;1417
M266-P407-L16-A4;M266-R16-4;888;703;42;140;884;1772
M267-P407-L15-A3;M267-R15-3;754;469;31;50;550;1304
M269-P407-L17-A3;M269-R17-3;497;422;25;41;488;985
M271-P407-L18-A5;M271-R18-5;172;275;13;19;307;478
M272-P407-L18-A2;M272-R18-2;372;304;17;25;345;717
M282-P407-L14-A11;M282-R14-11;227;349;21;36;406;633
M285-P407-L14-A4;M285-R14-4;419;251;18;55;323;742
M290-P407-L9-A7;M290-R9-7;302;408;34;31;473;775
M294-P407-L10-A12;M294-R10-12;295;314;14;25;352;647
M296-P407-L14-A12;M296-R14-12;165;214;11;20;244;409
M300-P407-L11-A9;M300-R11-9;304;356;22;50;428;733
M304-P407-L12-A9;M304-R12-9;293;215;22;36;273;566
