ech,alpha.carotene,beta.carotene
3-HR-1-3,79.6347055661819,151.192040173
36-HR-9-1,244.454289441694,486.160183123138
27-HR-7-4,46.0331956101747,51.04311091675
22-HR-5-4,54.2365379460164,93.8793166578327
41-HR-10-4,129.159997330788,217.392493573604
40-HR-10-3,118.147290016793,167.531353174932
20-HR-5-2,39.3893351981105,51.485562703977
16-HR-4-1,46.9617878723255,37.6490723951882
28-HR-7-5,43.4011448425957,38.2988585567025
45-HR-11-3,82.1678210476053,123.980852091567
44-HR-11-2,133.558757972907,192.090415602926
29-HR-7-6,38.609124532287,42.0700753708829
1-HR-1-1,65.6378259472569,66.3136959901094
33-HR-8-1,18.8096157964612,34.7616041228868
25-HR-7-2,41.9422131809525,49.3488507154488
35-HR-8-3,36.3074706238436,54.5233357769001
7-HR-2-2,53.9475153975684,45.8465151557454
31-HR-7-8,21.3920393118662,20.7427724362412
26-HR-7-3,37.7162765856454,43.2776381490112
47-HR-11-5,111.323085627077,179.219834559858
32-HR-7-9,17.2230492426833,15.5646911648792
38-HR-10-1,89.5289852764231,96.7407901487065
5-HR-1-5,66.474985202875,92.7530136573211
46-HR-11-4,38.2619070678234,34.0564682734589
24-HR-7-1,42.8036507035098,47.5510194562809
19-HR-5-1,37.5251852868178,44.5764637861452
9-HR-2-4,37.3818289420686,50.7972462496956
6-HR-2-1,38.3527634905409,36.7092496852651
30-HR-7-7,14.6118767528505,16.8580322226253
11-HR-2-6,48.794721158695,51.1017861221008
14-HR-3-2,119.040457566242,152.562749772799
42-HR-10-5,106.162001458457,123.735390345541
8-HR-2-3,110.401434147818,171.218584506778
10-HR-2-5,39.8940033451162,46.0986270314907
21-HR-5-3,45.833988126949,55.4787316158748
12-HR-2-7,38.8642176186835,38.6044875669542
23-HR-6-1,133.155937100515,248.390809758505
39-HR-10-2,69.0976213128186,86.7736262480728
2-HR-1-2,63.6434997196253,87.1852573477551
17-HR-4-2,43.8163597227392,47.161861926518
37-HR-9-2,99.1135786937337,158.740277157894
15-HR-3-3,39.4710940536435,52.8550997702213
4-HR-1-4,62.0078176154988,76.9463143868621
43-HR-11-3,85.7338419714182,139.602356336892
18-HR-4-3,48.9574845908026,63.2397219742841
13-HR-3-1,169.849779994671,208.336062900579
