ech;aT;aT3;gT3;dT3;TOTAL_TOCO;TOTAL_T3 
18-HR-4-3;200,74;369,57;416,23;194,81;1181,35;980,61
13-HR-3-1;251,85;347,18;407,20;165,89;1172,12;920,27
100-HR-25-5;159,36;208,22;363,90;149,87;881,34;721,98
101-HR-25-6;98,05;193,73;289,99;180,43;762,20;664,15
102-HR-25-7;191,66;294,80;478,54;143,72;1108,72;917,06
103-HR-25-8;153,48;226,53;334,27;147,23;861,50;708,02
104-HR-25-9;184,94;258,99;344,00;152,75;940,68;755,74
105-HR-25-10;233,97;278,94;507,43;221,59;1241,93;1007,96
106-HR-25-11;0,00;10,83;79,12;117,35;207,30;207,30
107-HR-25-12;51,99;118,62;271,85;185,92;628,38;576,39
108-HR-25-13;197,35;332,70;537,70;189,00;1256,74;1059,40
109-HR-25-14;53,22;60,25;233,30;205,43;552,20;498,98
110-HR-25-15;151,14;198,54;292,13;212,40;854,20;703,07
111-HR-25-16;223,49;322,54;465,38;188,03;1199,43;975,95
112-HR-26-1;104,17;148,77;200,87;50,09;503,90;399,73
113-HR-26-2;153,04;193,14;304,07;99,80;750,05;597,01
114-HR-26-3;101,79;198,88;266,42;49,68;616,77;514,98
115-HR-26-4;105,28;148,29;230,68;73,19;557,43;452,15
116-HR-27-1;107,13;102,17;200,94;134,78;545,01;437,89
117-HR-27-2;122,24;136,62;238,89;120,11;617,87;495,62
48-HR-12-1;77,24;181,84;220,20;63,66;542,94;465,70
49-HR-12-2;32,89;87,77;172,44;64,24;357,34;324,45
50-HR-12-3;90,32;127,20;252,21;118,94;588,66;498,34
51-HR-12-4;102,94;228,15;302,42;85,01;718,51;615,57
52-HR-12-5;8,41;9,52;69,22;69,72;156,87;148,46
53-HR-12-6;195,93;228,14;288,60;81,83;794,50;598,57
54-HR-12-7;54,49;94,57;210,96;78,15;438,17;383,68
55-HR-12-8;198,24;259,08;293,33;76,71;827,37;629,13
56-HR-12-9;144,20;216,37;274,58;107,34;742,50;598,30
57-HR-12-10;191,45;333,44;433,01;116,65;1074,55;883,10
58-HR-12-11;29,27;40,72;167,34;94,78;332,11;302,84
59-HR-13-1;152,44;180,86;241,14;132,37;706,81;554,38
60-HR-13-2;132,92;200,89;248,11;103,92;685,84;552,92
61-HR-13-3;144,20;186,18;271,05;124,75;726,19;581,99
62-HR-13-4;169,35;197,45;260,37;121,45;748,61;579,26
63-HR-14-1;118,26;118,72;147,41;39,86;424,25;305,99
64-HR-14-2;84,37;120,08;200,96;71,35;476,76;392,39
65-HR-14-3;176,51;151,61;139,94;42,05;510,10;333,60
66-HR-15-1;180,16;223,07;281,84;95,31;780,38;600,22
67-HR-12-12;42,38;103,28;183,67;68,48;397,80;355,42
68-HR-16-1;134,81;273,71;327,47;115,80;851,78;716,97
69-HR-16-2;150,81;307,33;423,59;103,17;984,91;834,10
70-HR-16-3;75,59;95,87;222,47;64,40;458,34;382,75
71-HR-16-4;126,97;126,04;214,49;56,98;524,48;397,51
72-HR-17-1;82,64;117,00;258,56;218,02;676,22;593,58
73-HR-18-1;252,54;204,75;374,77;157,00;989,07;736,53
74-HR-19-1;153,75;165,23;251,76;198,33;769,07;615,32
75-HR-19-2;141,47;189,74;267,13;115,87;714,20;572,74
76-HR-19-3;59,05;97,23;209,82;81,24;447,33;388,29
77-HR-20-1;152,03;210,14;289,83;197,08;849,08;697,05
79-HR-20-3;165,67;242,82;213,32;99,26;721,05;555,39
80-HR-20-4;101,83;298,98;326,17;94,15;821,13;719,30
81-HR-20-5;148,67;153,54;199,70;93,65;595,56;446,89
82-HR-20-6;93,26;168,74;226,67;106,87;595,54;502,28
83-HR-20-7;128,21;207,74;223,59;97,89;657,43;529,23
84-HR-20-8;214,16;362,02;333,87;162,43;1072,47;858,32
85-HR-20-9;159,04;282,48;312,44;135,27;889,23;730,20
86-HR-20-10;128,21;274,07;279,55;110,03;791,85;663,65
88-HR-21-1;152,72;169,61;240,10;100,02;662,44;509,72
89-HR-22-1;95,84;193,37;269,31;134,51;693,03;597,19
90-HR-23-1;157,75;201,05;296,89;198,62;854,30;696,55
91-HR-23-2;323,62;314,88;692,59;270,94;1602,04;1278,42
92-HR-23-3;131,81;143,10;294,00;194,41;763,32;631,50
93-HR-24-1;116,43;249,89;291,53;194,28;852,13;735,70
94-HR-24-2;66,35;122,47;276,18;83,83;548,82;482,47
95-HR-24-3;167,44;208,38;337,10;105,61;818,53;651,09
96-HR-25-1;247,41;385,33;631,45;202,54;1466,73;1219,32
97-HR-25-2;150,94;261,88;359,50;98,10;870,41;719,48
98-HR-25-3;37,04;91,41;179,92;115,46;423,82;386,79
99-HR-25-4;235,83;305,74;516,61;190,68;1248,85;1013,03
