ech;trans-alpha-carotene;trans-beta-carotene;13-cis-beta-carotene;9-cis-beta-carotene;total_beta-carotenes;total_carotenes;Lycopene
88-HR-21-1;214,7;260,1;19,2;101,6;380,9;595,6;3,4
89-HR-22-1;300,6;382,1;54,7;103,4;540,1;840,7;7,9
90-HR-23-1;460,3;593,7;95,0;127,8;816,5;1276,8;1,1
91-HR-23-2;334,8;588,0;50,1;256,5;894,6;1229,4;17,0
92-HR-23-3;441,8;632,5;52,1;107,7;792,4;1234,2;2,3
93-HR-24-1;272,1;380,9;60,7;88,0;529,6;801,7;2,7
94-HR-24-2;233,0;294,8;29,0;81,0;404,8;637,8;2,2
95-HR-24-3;260,1;495,6;34,0;109,7;639,3;899,4;2,6
96-HR-25-1;297,3;618,1;111,3;90,4;819,8;1117,1;0,4
97-HR-25-2;255,9;452,4;82,0;78,8;613,1;869,0;0,6
98-HR-25-3;181,6;223,6;30,6;56,8;311,0;492,6;0,0
99-HR-25-4;232,1;438,2;62,6;64,9;565,7;797,8;0,7
100-HR-25-5;289,7;450,6;64,9;65,6;581,1;870,8;1,0
101-HR-25-6;352,6;478,4;85,1;77,4;641,0;993,6;0,9
102-HR-25-7;237,0;417,9;92,2;73,3;583,4;820,4;0,0
103-HR-25-8;412,9;602,0;101,4;92,5;795,9;1208,8;0,0
104-HR-25-9;326,2;461,4;72,8;74,9;609,1;935,3;0,9
105-HR-25-10;303,0;578,0;80,7;93,1;751,8;1054,8;1,9
106-HR-25-11;168,5;195,1;39,2;61,3;295,6;464,1;0,0
107-HR-25-12;246,8;296,6;38,3;65,5;400,3;647,2;0,0
108-HR-25-13;344,7;708,1;45,7;112,6;866,4;1211,1;1,6
109-HR-25-14;226,9;251,0;36,4;57,0;344,5;571,4;0,0
110-HR-25-15;353,7;512,3;51,5;89,1;652,9;1006,6;2,3
111-HR-25-16;307,1;520,7;88,8;89,3;698,8;1005,9;0,0
112-HR-26-1;855,9;821,4;234,4;263,1;1318,9;2174,8;10,7
113-HR-26-2;255,7;336,1;45,8;119,1;501,0;756,7;4,3
114-HR-26-3;593,2;747,1;79,3;200,6;1027,1;1620,3;19,7
115-HR-26-4;190,0;269,1;40,9;70,9;380,9;571,0;1,5
116-HR-27-1;209,1;266,9;30,9;109,4;407,3;616,4;4,9
117-HR-27-2;117,4;133,2;17,4;69,2;219,8;337,2;0,0

