Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;708415;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6281;3.2049;0.5932;2.8703;1.5946
2;822461;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.5819;3.3918;0.6784;2.4942;1.7934
3;362416;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('detr','2'), list('sder',c(0, 2, 21));0.6202;2.6793;0.4742;4.9442;1.4027
4;470582;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.655;3.0714;0.5026;3.3041;1.4422
5;503280;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.6292;3.2688;0.5032;2.8196;1.4431
6;784206;list('adj',''),list('red',c(950,700,1)),list('snv','');0.625;2.7138;0.5422;4.6562;1.5032
7;406614;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.6471;3.1166;0.4615;3.3617;1.386
8;359988;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.5762;3.3102;0.6736;2.9877;1.7803
9;686519;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.6412;3.1048;0.5594;3.2358;1.5324
10;66051;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6307;3.1965;0.5543;2.9451;1.5235
