"idparam;compose;pretraitement;ncomp"
"meso_frais;C14.0;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));4"
"meso_frais;C16.0;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));5"
"meso_frais;C18.0;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));3"
"meso_frais;C18.1n9;rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15)));5"
"meso_frais;C18.1n7;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3"
"meso_frais;C18.2;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));6"
"meso_frais;C18.3;rbind(list('adj',''),list('red',c(1000,700,1)),list('snv',''),list('sder',c(2,3,15)));1"
"meso_frais;C20.0;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3"
"meso_frais;trans.alpha.carotene;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(0, 2, 21)));3"
"meso_frais;trans.beta.carotene;rbind(list('adj',''),list('red',c(1,1300,1)),list('ref2abs',''), list('snv',''), list('sder',c(1,3,31)));6"
"meso_frais;total.trans.carotene.natif;rbind(list('adj',''),list('snv',''),list('sder',c(1,3,5)));2"
"meso_frais;ratio.alpha.beta;rbind(list('adj',''), list('red',c(1,1300,1)), list('ref2abs',''),list('snv',''), list('sder',c(1,3,15)));2"
"meso_frais;ratio.alpha.natif;rbind(list('adj',''), list('red',c(1,1300,1)), list('ref2abs',''), list('snv',''), list('sder',c(1,3,15)));2"
"meso_frais;ratio.beta.natif;rbind(list('adj',''), list('red',c(1,1300,1)), list('ref2abs',''), list('snv',''), list('sder',c(1,3,15)));2"
"meso_frais;X13.cis.beta.carotene;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'));3"
"meso_frais;X9.cis.beta.carotene;rbind(list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15)));5"
"meso_frais;total.beta.carotene;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,21)));3"
"meso_frais;total.carotene;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(0, 2, 21)));3"
"meso_frais;tlip.MS;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3"
"meso_silica;eau;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));10"
"meso_silica;C14.0;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));4"
"meso_silica;C16.0;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));5"
"meso_silica;C18.0;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));4"
