Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;sqrt;10.0
2;100;2;2;log2;20.0
3;100;10;1;0.3;20.0
4;500;5;4;sqrt;
5;100;5;4;sqrt;20.0
6;100;5;2;0.3;
7;500;10;1;log2;10.0
8;300;5;4;sqrt;10.0
9;200;5;4;log2;
10;500;5;1;0.3;20.0
11;100;2;1;log2;
12;200;5;4;sqrt;
13;500;2;2;0.3;10.0
14;100;2;1;sqrt;10.0
15;200;2;4;sqrt;20.0
16;500;2;4;sqrt;
17;300;10;2;sqrt;20.0
18;300;5;2;0.3;10.0
19;300;10;1;sqrt;
20;200;5;1;sqrt;
21;200;2;2;log2;20.0
22;100;5;1;0.3;10.0
23;200;2;1;log2;10.0
24;200;2;2;0.3;10.0
25;100;2;2;sqrt;10.0
26;300;10;1;0.3;10.0
27;100;5;1;sqrt;
28;500;10;1;0.3;20.0
29;500;5;1;sqrt;20.0
30;500;5;2;log2;
