Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;log2;10.0
2;200;5;4;sqrt;10.0
3;200;2;4;log2;10.0
4;100;5;4;0.3;
5;300;2;4;log2;
6;500;10;1;log2;10.0
7;500;2;4;log2;10.0
8;300;2;1;log2;
9;500;5;1;sqrt;
10;500;10;1;0.3;20.0
11;100;10;1;sqrt;20.0
12;100;10;2;0.3;20.0
13;200;10;1;log2;20.0
14;300;10;1;log2;20.0
15;100;10;4;log2;10.0
16;100;10;4;log2;
17;200;10;2;sqrt;10.0
18;500;5;4;log2;20.0
19;500;10;2;0.3;20.0
20;100;2;4;sqrt;
21;200;5;4;log2;20.0
22;100;2;4;log2;10.0
23;200;10;2;sqrt;20.0
24;100;5;1;log2;20.0
25;100;5;4;0.3;10.0
26;100;2;2;0.3;20.0
27;300;10;2;log2;
28;500;2;4;sqrt;10.0
29;100;2;4;log2;20.0
30;500;10;4;sqrt;10.0
