Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.7822;2.9563;2.1795;2.3805
2;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.8337;2.1751;2.494;2.3827
3;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.7621;2.7286;2.0854;2.5273
4;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.8043;2.1888;2.299;2.5099
5;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.8033;2.2621;2.2931;2.5238
