Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;0.3;20.0
2;100;10;4;sqrt;20.0
3;200;2;4;sqrt;20.0
4;100;10;2;sqrt;10.0
5;300;2;2;sqrt;
6;500;10;4;0.3;10.0
7;200;5;4;sqrt;20.0
8;200;10;4;sqrt;20.0
9;300;2;4;log2;20.0
10;300;5;2;log2;10.0
11;500;10;2;0.3;10.0
12;100;10;4;0.3;
13;100;10;4;log2;
14;500;10;1;sqrt;20.0
15;500;10;1;sqrt;
16;500;2;1;0.3;10.0
17;200;2;4;0.3;10.0
18;500;10;2;sqrt;
19;500;5;2;log2;10.0
20;200;2;4;sqrt;10.0
21;500;10;4;log2;10.0
22;100;5;4;sqrt;
23;200;2;2;0.3;20.0
24;300;10;2;log2;20.0
25;500;5;1;log2;20.0
26;200;5;2;sqrt;20.0
27;100;5;2;log2;20.0
28;200;5;1;sqrt;10.0
29;100;10;2;sqrt;
30;500;2;2;0.3;20.0
