Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;4;0.3;
2;200;2;1;sqrt;
3;100;5;4;log2;10.0
4;100;5;4;sqrt;20.0
5;500;2;1;log2;20.0
6;100;10;2;sqrt;10.0
7;200;10;4;log2;10.0
8;300;5;4;0.3;10.0
9;500;10;1;0.3;
10;300;2;4;log2;10.0
11;100;10;4;0.3;10.0
12;200;10;1;sqrt;20.0
13;200;5;2;0.3;20.0
14;500;2;4;sqrt;
15;200;5;4;0.3;20.0
16;200;2;4;log2;
17;500;10;4;0.3;10.0
18;100;10;2;log2;10.0
19;300;10;1;sqrt;
20;200;2;2;sqrt;10.0
21;100;2;1;0.3;
22;500;10;2;log2;20.0
23;300;10;1;sqrt;10.0
24;500;2;4;0.3;10.0
25;300;2;2;sqrt;
26;300;5;1;log2;10.0
27;100;10;4;log2;10.0
28;100;5;1;log2;
29;200;2;4;sqrt;10.0
30;200;10;2;log2;10.0
