Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;460161;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.3314;0.4203;-0.4125;0.2908;0.8558
2;691722;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.3738;0.3881;0.235;0.3999;1.1628
3;280191;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.3708;0.4006;0.3896;0.303;1.3018
4;793894;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4071;0.3812;-0.1534;0.4262;0.947
5;420271;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.3041;0.3783;0.3257;0.4728;1.2386
6;124157;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4169;0.3678;0.2406;0.422;1.1671
7;680905;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.2611;0.3833;0.3929;0.4706;1.3054
8;29463;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.3338;0.3963;0.4124;0.368;1.3269
9;685761;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.3406;0.398;0.4031;0.3576;1.3165
10;567614;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 21));0.3779;0.3852;0.3252;0.3766;1.2382
