Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;1;sqrt;
2;300;5;4;sqrt;
3;200;5;2;0.3;20.0
4;200;5;4;log2;20.0
5;200;10;2;sqrt;
6;200;2;1;log2;20.0
7;500;10;4;0.3;10.0
8;200;5;2;sqrt;10.0
9;100;5;2;0.3;10.0
10;500;5;2;sqrt;20.0
11;100;10;1;0.3;10.0
12;100;5;1;log2;
13;100;10;1;0.3;20.0
14;300;5;1;log2;
15;300;2;4;0.3;10.0
16;100;10;1;sqrt;10.0
17;300;10;4;sqrt;20.0
18;200;2;4;sqrt;10.0
19;300;10;2;sqrt;
20;500;2;2;sqrt;20.0
21;500;2;4;0.3;20.0
22;200;10;1;0.3;10.0
23;500;5;1;log2;10.0
24;300;2;2;log2;20.0
25;500;5;2;sqrt;10.0
26;300;10;1;0.3;
27;100;5;4;sqrt;10.0
28;500;2;4;sqrt;
29;200;2;1;0.3;
30;300;2;1;0.3;20.0
