Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;225775;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.787;217.0266;0.8256;156.5342;2.4358
2;623;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.8068;202.1143;0.7619;211.1674;2.0846
3;47441;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.7376;203.4238;0.6486;385.4175;1.7158
4;448758;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.7711;213.5295;0.7595;247.1102;2.074
5;347337;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.8048;209.1919;0.7838;177.3644;2.1874
6;679222;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.7701;214.3396;0.8248;210.3196;2.43
7;140513;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.7885;215.8921;0.6329;244.1674;1.6787
8;306458;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.8014;211.5379;0.7014;204.2013;1.8612
9;416223;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.7574;213.3544;0.777;262.0089;2.1539
10;694281;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7279;226.5687;0.818;233.5378;2.384
