Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;0.3;
2;300;2;4;sqrt;20.0
3;500;10;2;sqrt;
4;500;2;1;0.3;10.0
5;200;2;1;log2;10.0
6;200;5;4;log2;20.0
7;100;5;4;sqrt;20.0
8;100;10;2;log2;20.0
9;200;5;1;sqrt;
10;200;10;4;sqrt;20.0
11;500;10;1;0.3;10.0
12;500;5;2;0.3;10.0
13;500;5;1;sqrt;10.0
14;100;5;1;sqrt;
15;100;10;2;log2;
16;100;2;2;0.3;10.0
17;200;10;1;log2;10.0
18;500;10;1;sqrt;10.0
19;200;5;1;0.3;20.0
20;300;5;4;0.3;20.0
21;300;5;1;sqrt;
22;200;10;2;log2;
23;500;2;1;sqrt;10.0
24;200;5;1;0.3;
25;300;10;2;sqrt;20.0
26;100;2;4;sqrt;10.0
27;500;2;1;0.3;20.0
28;200;2;2;log2;20.0
29;300;2;1;sqrt;20.0
30;300;2;4;log2;
