Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.6366;269.6596;1.6872;167.761
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.5219;276.1196;1.471;176.7538
3;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.5199;299.3796;1.4679;173.895
4;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7342;153.5055;1.9729;205.8569
5;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1,3,15));0.4758;247.758;1.4048;205.1436
