Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;sqrt;
2;500;2;2;sqrt;
3;200;10;4;sqrt;
4;100;2;4;0.3;20.0
5;100;2;2;log2;20.0
6;300;2;4;0.3;20.0
7;500;10;2;log2;20.0
8;100;5;2;sqrt;10.0
9;100;10;1;sqrt;10.0
10;200;10;2;sqrt;20.0
11;200;2;4;0.3;
12;200;5;2;log2;
13;500;5;4;sqrt;20.0
14;200;10;1;log2;20.0
15;200;5;4;log2;
16;300;2;1;0.3;10.0
17;100;2;1;log2;
18;500;5;1;0.3;20.0
19;200;10;2;0.3;20.0
20;100;10;2;log2;10.0
21;500;10;1;log2;10.0
22;300;5;1;0.3;20.0
23;100;2;4;log2;10.0
24;500;10;2;log2;10.0
25;500;5;2;log2;10.0
26;500;5;2;0.3;10.0
27;200;5;2;sqrt;10.0
28;100;2;1;log2;20.0
29;500;2;4;0.3;20.0
30;200;5;1;sqrt;
