Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;log2;10.0
2;100;10;2;0.3;20.0
3;100;10;4;sqrt;
4;500;2;2;sqrt;10.0
5;300;10;2;0.3;10.0
6;500;5;4;0.3;10.0
7;200;5;2;sqrt;20.0
8;300;2;1;0.3;
9;500;5;2;0.3;10.0
10;100;5;4;sqrt;10.0
11;100;2;4;log2;10.0
12;100;10;4;sqrt;20.0
13;200;2;2;0.3;20.0
14;500;10;1;sqrt;
15;100;5;4;0.3;20.0
16;100;5;4;sqrt;
17;100;5;2;0.3;20.0
18;300;10;4;0.3;
19;500;2;4;log2;20.0
20;500;5;2;0.3;20.0
21;200;2;2;log2;
22;100;10;2;log2;10.0
23;300;10;1;log2;20.0
24;300;10;4;0.3;20.0
25;100;5;4;log2;20.0
26;300;2;2;log2;
27;300;5;1;log2;10.0
28;500;10;1;sqrt;10.0
29;200;10;4;0.3;20.0
30;100;10;1;0.3;
