Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;4;log2;
2;500;2;4;0.3;10.0
3;300;2;2;0.3;20.0
4;200;2;1;0.3;20.0
5;300;5;1;log2;10.0
6;200;10;1;sqrt;10.0
7;200;10;4;sqrt;10.0
8;300;2;2;log2;10.0
9;300;5;4;sqrt;20.0
10;300;10;4;sqrt;
11;100;5;2;0.3;
12;100;10;1;0.3;10.0
13;500;10;1;log2;10.0
14;200;5;1;sqrt;20.0
15;100;10;2;sqrt;10.0
16;300;10;4;0.3;20.0
17;100;10;2;log2;
18;300;10;2;sqrt;10.0
19;100;2;1;0.3;10.0
20;100;5;4;0.3;10.0
21;100;5;1;log2;
22;500;5;2;sqrt;
23;500;2;2;log2;
24;200;2;1;0.3;
25;200;5;4;log2;
26;100;5;2;0.3;20.0
27;500;10;2;sqrt;20.0
28;500;2;1;0.3;
29;500;10;2;sqrt;
30;200;5;2;sqrt;20.0
