Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;0.3;10.0
2;200;5;1;sqrt;10.0
3;500;2;2;0.3;
4;200;2;1;log2;10.0
5;100;2;2;sqrt;
6;300;10;4;0.3;
7;300;2;4;sqrt;
8;300;2;4;sqrt;10.0
9;500;10;2;sqrt;
10;300;5;2;sqrt;
11;500;2;2;sqrt;10.0
12;100;2;2;0.3;10.0
13;300;5;1;sqrt;10.0
14;100;2;4;sqrt;
15;100;2;1;0.3;
16;100;2;1;0.3;20.0
17;500;2;4;0.3;20.0
18;300;10;2;sqrt;10.0
19;100;2;4;log2;10.0
20;500;2;2;sqrt;20.0
21;100;2;4;log2;20.0
22;200;2;4;sqrt;10.0
23;100;2;2;0.3;
24;500;2;4;log2;
25;200;2;1;0.3;
26;300;10;2;sqrt;20.0
27;300;5;2;0.3;
28;500;2;4;0.3;10.0
29;500;2;2;sqrt;
30;300;10;4;sqrt;20.0
