Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;sqrt;
2;300;10;4;sqrt;20.0
3;300;2;1;sqrt;20.0
4;300;10;2;log2;20.0
5;100;5;4;log2;
6;500;5;1;log2;20.0
7;100;2;1;log2;10.0
8;300;10;1;log2;20.0
9;500;5;2;log2;10.0
10;100;5;1;log2;10.0
11;200;2;4;0.3;20.0
12;300;2;2;0.3;10.0
13;100;5;4;sqrt;20.0
14;100;5;2;0.3;20.0
15;500;10;4;log2;
16;500;5;4;log2;20.0
17;100;5;2;log2;
18;200;10;4;sqrt;10.0
19;300;5;1;log2;20.0
20;100;2;1;log2;
21;300;2;4;log2;
22;200;10;4;0.3;10.0
23;100;10;1;0.3;
24;200;5;1;sqrt;10.0
25;100;10;4;0.3;20.0
26;200;10;4;0.3;20.0
27;500;5;4;0.3;10.0
28;100;5;1;0.3;20.0
29;100;5;2;0.3;
30;200;10;2;log2;
