Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;sqrt;
2;300;5;4;log2;20.0
3;100;5;4;log2;
4;100;5;2;sqrt;
5;200;10;2;0.3;
6;200;10;1;sqrt;10.0
7;100;2;2;log2;20.0
8;100;5;1;sqrt;20.0
9;100;10;4;sqrt;10.0
10;300;5;1;sqrt;20.0
11;100;10;1;sqrt;
12;500;5;1;log2;10.0
13;100;5;2;sqrt;10.0
14;500;5;1;log2;
15;300;5;2;0.3;20.0
16;500;2;2;log2;20.0
17;100;2;1;sqrt;20.0
18;500;5;2;0.3;
19;100;2;1;sqrt;10.0
20;500;2;2;log2;10.0
21;300;10;1;0.3;10.0
22;200;10;4;0.3;20.0
23;200;5;2;log2;20.0
24;300;10;2;0.3;10.0
25;500;10;1;log2;
26;500;5;4;log2;
27;100;2;1;0.3;
28;200;2;1;0.3;
29;500;2;1;sqrt;10.0
30;300;5;4;0.3;10.0
