"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"tlip.MS";0,7428;0,6697;NA
"random_forest";"tlip.MS";0,6028;0,5827;NA
"xgboost";"tlip.MS";0,5593;0,6829;NA
