Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;log2;
2;500;10;1;sqrt;10.0
3;100;5;4;sqrt;10.0
4;100;5;1;log2;10.0
5;200;5;1;0.3;20.0
6;200;2;1;log2;20.0
7;300;10;2;0.3;10.0
8;200;2;1;sqrt;
9;500;5;4;sqrt;10.0
10;100;5;1;0.3;
11;500;2;1;log2;
12;300;2;4;log2;20.0
13;200;2;1;sqrt;10.0
14;100;2;4;log2;20.0
15;200;5;4;0.3;10.0
16;200;10;1;sqrt;
17;100;5;2;0.3;20.0
18;300;10;1;0.3;
19;500;2;4;log2;10.0
20;100;5;1;log2;20.0
21;200;5;1;log2;20.0
22;300;2;4;sqrt;
23;500;2;1;sqrt;20.0
24;300;10;4;sqrt;10.0
25;500;2;4;sqrt;10.0
26;500;2;1;log2;20.0
27;100;2;4;0.3;20.0
28;300;10;1;sqrt;10.0
29;200;10;1;log2;
30;100;5;4;sqrt;20.0
