Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;log2;
2;500;10;1;0.3;10.0
3;500;5;4;sqrt;
4;200;10;1;0.3;
5;200;2;2;log2;
6;200;5;2;0.3;10.0
7;100;10;2;log2;10.0
8;300;5;2;sqrt;20.0
9;300;5;2;0.3;10.0
10;200;10;1;log2;
11;100;5;4;0.3;20.0
12;200;2;2;sqrt;20.0
13;500;5;4;log2;
14;300;2;2;sqrt;20.0
15;500;5;4;0.3;
16;100;2;2;log2;10.0
17;100;10;2;log2;20.0
18;100;10;1;log2;20.0
19;100;2;2;log2;
20;500;10;1;0.3;20.0
21;200;5;2;log2;20.0
22;100;2;4;sqrt;10.0
23;200;2;1;sqrt;10.0
24;200;2;2;0.3;20.0
25;100;10;4;log2;10.0
26;500;5;1;log2;10.0
27;200;10;4;sqrt;10.0
28;300;10;4;0.3;10.0
29;200;10;2;log2;10.0
30;200;2;1;0.3;10.0
