Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;13109;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.347;1.2692;0.3331;1.6196;1.2455
2;951679;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.3564;1.3823;0.3112;1.0673;1.2255
3;836703;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.4194;1.2566;0.2541;1.4541;1.1776
4;188682;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.4149;1.2477;0.3694;1.386;1.2808
5;468338;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.2764;1.3709;0.5172;1.234;1.4637
6;273755;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.3702;1.3201;0.3069;1.3504;1.2217
7;200621;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.2962;1.3889;0.2334;1.4226;1.1617
8;915756;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.3393;1.3699;0.1734;1.3831;1.1187
9;843770;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.3474;1.3026;0.2776;1.5537;1.1967
10;501412;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.3616;1.3672;0.5248;0.9327;1.4754
