Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;350692;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,15)), list('snv','');0.5438;23.7994;0.2749;37.8793;1.1944
2;24193;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,15)), list('snv','');0.5036;25.2086;0.4368;32.876;1.3553
3;454941;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.4716;26.9074;0.6649;23.0043;1.757
4;887729;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.4038;29.3542;0.754;17.8906;2.0505
5;798166;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.5718;22.6353;0.1589;41.5649;1.109
6;666646;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 9));0.4383;27.4396;0.5548;27.2292;1.5244
7;632604;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.5109;26.3268;0.4105;28.7312;1.3247
8;86478;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.4383;27.4161;0.4542;30.4222;1.3767
9;306650;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4857;26.859;0.297;31.8448;1.2131
10;945409;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(2,3,15));0.5515;24.5295;0.1384;38.1306;1.0957
