Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;0.3;10.0
2;500;10;1;log2;
3;100;10;2;0.3;10.0
4;300;2;4;log2;
5;100;5;4;sqrt;
6;300;10;2;log2;20.0
7;200;5;1;sqrt;
8;100;5;1;log2;
9;100;2;4;0.3;
10;300;10;4;0.3;20.0
11;300;5;1;0.3;
12;300;2;4;0.3;
13;300;10;4;sqrt;20.0
14;200;10;4;sqrt;20.0
15;300;10;2;log2;10.0
16;100;2;2;0.3;10.0
17;500;10;1;sqrt;10.0
18;100;10;4;0.3;20.0
19;500;10;4;0.3;
20;300;5;1;0.3;10.0
21;300;2;2;sqrt;10.0
22;500;10;4;log2;20.0
23;300;10;4;log2;10.0
24;100;2;1;0.3;10.0
25;300;10;4;0.3;10.0
26;100;5;4;0.3;20.0
27;200;5;2;sqrt;10.0
28;300;2;1;log2;10.0
29;200;10;2;0.3;
30;200;2;1;0.3;
