Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;453531;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.2492;0.0378;-0.076;0.0367;0.9805
2;164390;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.1491;0.0393;0.1108;0.0361;1.0786
3;117513;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 11));0.2733;0.0363;-0.1263;0.0427;0.9584
4;760994;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.2624;0.036;-0.2741;0.0497;0.9011
5;366334;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.2516;0.0381;-0.13;0.0353;0.9568
6;3881;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.2162;0.037;-0.0496;0.0435;0.9927
7;493082;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.2329;0.0368;0.2393;0.0376;1.1662
8;611627;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.3106;0.0359;-0.2023;0.0405;0.9276
9;717732;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 35));0.2328;0.0375;0.1135;0.0367;1.0802
10;707467;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.2377;0.0369;0.1861;0.0381;1.1274
