"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"ratio.alpha.beta";0,4401;0,6301;-0,0406
"random_forest";"ratio.alpha.beta";0,3263;0,3596;-0,142
"xgboost";"ratio.alpha.beta";0,2538;0,4619;0,1919
