Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;1;0.3;10.0
2;100;5;1;log2;10.0
3;300;5;1;sqrt;20.0
4;200;10;4;0.3;
5;300;2;4;0.3;
6;300;2;2;log2;10.0
7;500;10;4;0.3;10.0
8;100;10;4;log2;
9;200;10;2;log2;10.0
10;100;5;4;log2;20.0
11;300;2;1;sqrt;
12;500;10;2;sqrt;
13;500;5;4;log2;
14;500;5;1;0.3;
15;500;10;4;sqrt;20.0
16;500;2;2;log2;20.0
17;500;5;4;sqrt;10.0
18;200;10;1;log2;
19;200;5;1;log2;
20;300;2;4;log2;20.0
21;200;10;4;sqrt;20.0
22;300;10;2;log2;20.0
23;200;10;2;0.3;20.0
24;100;5;2;log2;10.0
25;300;10;2;sqrt;
26;100;5;4;0.3;20.0
27;200;2;4;sqrt;10.0
28;200;10;1;sqrt;
29;100;2;4;log2;
30;200;5;4;0.3;10.0
