Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;log2;20.0
2;200;2;2;log2;10.0
3;200;10;4;0.3;
4;500;2;2;log2;10.0
5;300;5;4;sqrt;10.0
6;200;2;1;log2;10.0
7;100;10;2;sqrt;10.0
8;100;5;2;log2;20.0
9;100;10;4;0.3;
10;200;2;4;log2;10.0
11;500;2;4;sqrt;20.0
12;300;2;2;log2;20.0
13;100;2;2;sqrt;
14;100;10;1;log2;20.0
15;200;5;2;sqrt;10.0
16;200;10;4;log2;20.0
17;200;10;2;log2;10.0
18;300;5;4;sqrt;20.0
19;300;5;4;0.3;
20;300;5;1;0.3;
21;500;2;4;sqrt;
22;300;5;4;0.3;20.0
23;100;5;2;0.3;
24;300;10;2;0.3;20.0
25;200;10;4;sqrt;20.0
26;500;2;1;0.3;20.0
27;200;5;2;sqrt;
28;500;10;2;log2;
29;200;10;1;log2;20.0
30;500;5;1;log2;20.0
