Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;sqrt;
2;500;10;4;log2;
3;100;10;1;log2;20.0
4;200;5;2;log2;20.0
5;200;2;4;log2;
6;500;2;2;log2;
7;500;10;2;0.3;
8;100;2;1;log2;20.0
9;100;2;2;sqrt;
10;500;10;4;sqrt;
11;100;10;4;log2;
12;200;2;1;log2;
13;100;5;4;0.3;20.0
14;200;10;4;log2;20.0
15;500;10;4;0.3;20.0
16;200;5;1;0.3;
17;100;10;4;sqrt;10.0
18;200;10;2;0.3;20.0
19;500;2;2;0.3;20.0
20;300;10;2;sqrt;20.0
21;500;5;2;0.3;10.0
22;100;2;4;sqrt;20.0
23;300;5;2;log2;10.0
24;500;5;1;sqrt;20.0
25;500;2;2;sqrt;20.0
26;200;2;1;sqrt;
27;300;10;1;sqrt;
28;200;2;2;0.3;20.0
29;500;10;2;0.3;20.0
30;100;10;2;log2;
