Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;sqrt;
2;200;5;1;0.3;10.0
3;100;10;1;0.3;10.0
4;500;5;2;log2;
5;100;5;4;0.3;20.0
6;100;10;4;0.3;10.0
7;300;2;2;sqrt;
8;300;2;2;0.3;10.0
9;300;10;2;0.3;20.0
10;100;10;1;log2;20.0
11;300;2;1;0.3;20.0
12;100;5;1;sqrt;10.0
13;100;5;4;0.3;10.0
14;200;5;1;log2;20.0
15;300;5;1;sqrt;20.0
16;500;5;2;log2;20.0
17;200;10;2;sqrt;20.0
18;500;5;2;sqrt;20.0
19;200;2;4;sqrt;
20;200;10;1;0.3;
21;100;2;1;0.3;10.0
22;300;5;4;log2;
23;200;10;1;sqrt;20.0
24;500;5;4;log2;
25;100;2;1;0.3;20.0
26;100;2;2;0.3;
27;300;5;1;log2;20.0
28;100;2;2;0.3;10.0
29;500;10;1;log2;10.0
30;300;5;1;sqrt;10.0
