Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.6539;76.1579;1.7289;73.8447
2;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.6364;95.1144;1.6868;79.2873
3;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,4,21)), list('snv','');0.7522;81.4463;2.0433;76.2033
4;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.5272;96.7019;1.4793;71.0604
5;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.7008;70.0379;1.8595;77.3836
