Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;sqrt;
2;500;10;4;sqrt;10.0
3;100;2;1;sqrt;20.0
4;300;5;4;sqrt;10.0
5;300;10;4;sqrt;
6;300;2;1;sqrt;
7;300;10;2;sqrt;20.0
8;200;5;1;0.3;
9;200;10;4;0.3;20.0
10;500;2;2;0.3;10.0
11;500;10;4;log2;10.0
12;100;10;2;log2;10.0
13;300;5;2;sqrt;20.0
14;200;10;4;0.3;10.0
15;500;10;1;log2;20.0
16;500;5;1;0.3;10.0
17;100;2;1;sqrt;
18;100;10;2;sqrt;10.0
19;100;2;1;log2;10.0
20;500;2;2;log2;
21;200;5;4;0.3;20.0
22;100;5;4;0.3;
23;200;10;1;log2;20.0
24;200;5;4;sqrt;10.0
25;500;10;2;log2;
26;300;5;4;0.3;10.0
27;200;5;4;sqrt;20.0
28;500;10;1;sqrt;20.0
29;200;2;1;sqrt;20.0
30;500;5;4;0.3;
