"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.beta.carotene";233,5036;200,0679;118,2587
"random_forest";"total.beta.carotene";224,8757;181,0637;108,4107
"xgboost";"total.beta.carotene";249,2899;205,0545;81,4097
