Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;1;sqrt;20.0
2;500;2;4;sqrt;10.0
3;300;5;4;log2;10.0
4;300;10;2;0.3;
5;300;10;4;log2;20.0
6;500;2;1;log2;20.0
7;100;10;1;log2;20.0
8;500;5;2;0.3;10.0
9;300;10;4;log2;10.0
10;300;2;2;sqrt;10.0
11;100;2;2;sqrt;10.0
12;500;5;1;sqrt;
13;500;2;4;sqrt;20.0
14;200;10;1;0.3;10.0
15;200;10;1;0.3;20.0
16;100;5;1;sqrt;20.0
17;300;2;4;0.3;
18;200;2;4;0.3;
19;300;2;4;sqrt;10.0
20;200;2;4;log2;20.0
21;200;2;2;log2;
22;200;2;1;sqrt;10.0
23;200;5;4;log2;20.0
24;300;2;1;0.3;
25;500;2;4;0.3;
26;200;2;1;log2;
27;500;5;4;log2;10.0
28;100;2;4;0.3;20.0
29;100;2;2;0.3;20.0
30;500;10;2;sqrt;
