Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;2;log2;20.0
2;100;2;1;0.3;20.0
3;200;10;1;sqrt;
4;500;10;2;log2;10.0
5;200;2;1;log2;10.0
6;100;2;1;sqrt;10.0
7;300;2;1;0.3;
8;100;2;1;0.3;10.0
9;100;5;1;0.3;20.0
10;200;2;2;sqrt;
11;300;10;1;sqrt;10.0
12;300;5;4;0.3;20.0
13;200;5;2;sqrt;20.0
14;500;2;4;sqrt;
15;300;2;2;log2;20.0
16;500;5;4;log2;10.0
17;100;2;4;log2;
18;500;10;2;sqrt;
19;300;10;4;sqrt;20.0
20;100;5;1;log2;10.0
21;100;2;2;0.3;
22;100;5;4;0.3;10.0
23;300;5;4;log2;
24;100;10;4;log2;20.0
25;300;10;2;sqrt;10.0
26;300;10;2;log2;20.0
27;300;2;4;0.3;
28;300;10;1;0.3;20.0
29;100;2;2;log2;10.0
30;200;5;2;sqrt;10.0
