Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.2885;0.5146;1.2058;0.3528
2;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4415;0.3522;1.361;0.3859
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));-0.0141;0.3314;1.01;0.3847
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.4622;0.4091;1.387;0.358
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.3362;0.3649;1.2484;0.3767
6;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.2789;0.5141;1.1977;0.3465
7;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 21));0.2476;0.4624;1.1726;0.3592
8;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 21));0.2163;0.3953;1.1489;0.3787
9;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.2342;0.4629;1.1623;0.3508
10;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.4957;0.3157;1.4322;0.3953
