Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;116604;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.6612;1.6178;0.3864;2.4048;1.2985
2;386569;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6765;1.654;0.5472;1.5762;1.5114
3;201020;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6702;1.6792;0.6699;1.4067;1.7702
4;979387;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6983;1.5208;0.6311;1.9099;1.6746
5;180548;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6444;1.7012;0.8229;1.1607;2.4169
6;309677;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6461;1.7027;0.7303;1.4233;1.9584
7;336086;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6628;1.6795;0.7716;1.2172;2.1284
8;152992;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6951;1.5977;0.5743;1.6687;1.5589
9;254319;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.6601;1.6262;0.6643;1.7652;1.7553
10;411467;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(2,3,15));0.6621;1.6931;0.5935;1.5929;1.5952
