Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;2;log2;10.0
2;100;5;4;log2;
3;100;2;2;log2;20.0
4;500;10;2;sqrt;
5;100;5;2;0.3;20.0
6;500;10;4;log2;10.0
7;100;2;4;log2;
8;200;2;2;0.3;
9;300;2;2;sqrt;20.0
10;100;2;2;log2;
11;200;2;2;log2;
12;200;5;4;0.3;
13;100;5;4;sqrt;10.0
14;500;5;4;sqrt;10.0
15;200;5;4;sqrt;20.0
16;100;2;4;log2;20.0
17;200;5;1;sqrt;
18;300;10;2;0.3;
19;500;10;2;log2;20.0
20;200;10;4;0.3;
21;100;10;2;0.3;10.0
22;100;5;4;0.3;
23;200;5;2;log2;20.0
24;500;5;2;log2;10.0
25;200;10;1;0.3;20.0
26;200;5;4;log2;20.0
27;100;10;1;0.3;10.0
28;300;2;4;sqrt;
29;300;5;2;log2;
30;500;5;4;log2;10.0
