"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C14.0";0,4307;0,3471;0,395
"random_forest";"C14.0";0,5189;0,5896;0,3717
"xgboost";"C14.0";0,4007;0,6365;0,4951
