Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;581394;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.2133;51.4535;0.1808;45.7893;1.1238
2;100524;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.2121;51.8716;0.2521;44.4386;1.1761
3;417800;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.2606;50.1311;-0.1333;54.5576;0.9554
4;589698;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.415;39.8082;0.0112;74.1638;1.0228
5;844835;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.2686;51.5144;0.2177;34.3688;1.15
6;125785;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 9));0.2007;50.989;0.3201;47.7775;1.2335
7;877794;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.3152;41.7;-0.0973;83.5786;0.9709
8;314615;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.2726;49.2494;0.1843;48.4389;1.1261
9;266595;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2267;51.6449;0.3467;40.3246;1.2583
10;360569;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.1838;51.8937;0.1435;52.0355;1.099
