Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;sqrt;
2;100;2;2;sqrt;10.0
3;200;2;4;log2;10.0
4;200;2;4;0.3;20.0
5;100;5;2;sqrt;
6;500;2;2;0.3;20.0
7;100;5;4;log2;10.0
8;200;10;1;log2;10.0
9;200;2;4;sqrt;20.0
10;300;2;1;log2;
11;200;10;1;log2;20.0
12;500;2;4;log2;20.0
13;500;10;1;0.3;20.0
14;200;2;4;sqrt;10.0
15;100;5;1;0.3;20.0
16;200;5;2;log2;
17;100;10;2;sqrt;
18;200;10;1;sqrt;20.0
19;300;5;1;sqrt;10.0
20;200;2;4;0.3;10.0
21;200;5;4;log2;10.0
22;100;10;4;sqrt;10.0
23;200;5;4;0.3;
24;100;10;1;log2;
25;200;5;4;log2;
26;500;5;4;0.3;20.0
27;200;2;1;0.3;10.0
28;300;2;1;sqrt;20.0
29;500;5;2;0.3;
30;500;2;2;log2;
