"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C20.0";0,0836;0,0893;NA
"random_forest";"C20.0";0,087;0,0989;NA
"xgboost";"C20.0";0,0957;0,1022;NA
