Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;log2;20.0
2;200;2;4;log2;10.0
3;200;2;4;0.3;
4;100;10;4;0.3;20.0
5;200;2;4;sqrt;10.0
6;200;2;4;log2;20.0
7;200;5;2;log2;
8;100;5;4;sqrt;
9;200;10;4;sqrt;20.0
10;300;10;1;0.3;10.0
11;500;10;1;log2;20.0
12;500;10;1;sqrt;10.0
13;500;5;2;0.3;
14;100;10;4;0.3;
15;200;5;2;sqrt;20.0
16;500;10;1;log2;
17;300;2;2;log2;
18;500;5;1;0.3;10.0
19;500;2;4;log2;
20;100;10;4;sqrt;10.0
21;500;2;4;sqrt;10.0
22;100;5;2;sqrt;10.0
23;100;2;4;log2;20.0
24;200;10;2;0.3;10.0
25;300;2;4;sqrt;
26;500;10;1;0.3;10.0
27;300;5;2;sqrt;10.0
28;500;5;1;sqrt;
29;500;10;4;sqrt;10.0
30;200;5;4;sqrt;
