Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;0.3;
2;500;5;2;log2;10.0
3;200;5;2;log2;10.0
4;100;10;1;0.3;20.0
5;300;10;1;0.3;20.0
6;500;5;1;sqrt;10.0
7;300;5;2;0.3;20.0
8;500;2;4;log2;
9;100;5;1;log2;10.0
10;200;5;4;log2;
11;200;10;2;sqrt;10.0
12;500;2;1;0.3;10.0
13;200;5;4;log2;20.0
14;300;5;4;log2;
15;200;5;1;0.3;10.0
16;500;5;4;log2;10.0
17;100;2;1;log2;10.0
18;100;5;2;sqrt;20.0
19;100;10;1;log2;
20;500;10;4;sqrt;
21;300;2;4;log2;10.0
22;200;5;1;0.3;
23;200;5;2;0.3;20.0
24;300;5;4;sqrt;20.0
25;200;2;4;log2;
26;500;2;2;sqrt;10.0
27;500;2;2;0.3;20.0
28;500;10;2;log2;20.0
29;500;2;1;0.3;
30;500;5;4;sqrt;20.0
