Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;1;0.3;10.0
2;300;10;4;log2;10.0
3;200;2;1;sqrt;
4;100;10;1;sqrt;
5;100;5;1;0.3;20.0
6;300;5;1;sqrt;10.0
7;500;5;4;log2;10.0
8;200;10;1;sqrt;10.0
9;300;2;1;log2;
10;200;2;2;sqrt;
11;100;10;1;log2;20.0
12;300;10;4;0.3;
13;300;10;2;log2;10.0
14;300;10;4;sqrt;10.0
15;300;2;2;log2;20.0
16;500;2;4;log2;
17;500;10;2;0.3;20.0
18;100;2;4;sqrt;
19;100;2;2;sqrt;10.0
20;500;5;2;log2;
21;200;5;1;sqrt;10.0
22;100;10;1;0.3;20.0
23;500;10;1;0.3;
24;300;5;4;sqrt;
25;500;10;2;0.3;
26;500;10;4;log2;
27;300;10;1;sqrt;20.0
28;100;5;2;log2;
29;100;10;1;sqrt;20.0
30;100;5;4;0.3;
