Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;log2;20.0
2;200;10;2;log2;
3;300;2;2;log2;
4;300;5;1;0.3;
5;300;5;2;0.3;10.0
6;200;10;4;0.3;20.0
7;500;5;1;0.3;20.0
8;200;2;1;log2;
9;200;2;2;log2;
10;100;2;1;sqrt;20.0
11;100;2;4;0.3;20.0
12;300;10;2;0.3;10.0
13;200;10;1;0.3;
14;200;2;1;0.3;20.0
15;300;2;4;log2;20.0
16;200;10;1;0.3;20.0
17;500;10;2;0.3;10.0
18;500;2;1;sqrt;10.0
19;100;2;1;log2;20.0
20;300;5;2;sqrt;20.0
21;500;5;1;0.3;
22;300;5;2;log2;20.0
23;100;5;1;0.3;10.0
24;100;2;1;log2;10.0
25;300;10;2;log2;
26;100;10;2;sqrt;20.0
27;300;5;4;sqrt;20.0
28;300;2;4;log2;
29;100;10;2;sqrt;10.0
30;500;10;2;log2;20.0
