Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.7907;200.0937;2.2234;168.5191
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.4964;290.5199;1.4333;157.0863
3;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.6807;212.0884;1.7999;156.7927
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.6545;254.9599;1.7303;145.5928
5;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,4,21)), list('snv','');0.7765;164.4017;2.1513;171.5937
