Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;log2;10.0
2;500;5;1;0.3;
3;300;10;2;sqrt;
4;500;10;2;log2;10.0
5;500;5;4;0.3;10.0
6;100;2;2;log2;
7;300;5;4;0.3;10.0
8;200;10;1;log2;20.0
9;200;10;2;0.3;
10;300;2;4;0.3;
11;300;5;1;log2;10.0
12;500;10;4;log2;10.0
13;500;5;1;log2;20.0
14;500;10;4;log2;20.0
15;100;5;1;0.3;
16;200;5;2;sqrt;10.0
17;500;2;4;0.3;20.0
18;100;10;4;0.3;10.0
19;200;2;1;sqrt;20.0
20;500;2;4;sqrt;10.0
21;500;10;1;0.3;20.0
22;500;5;2;0.3;20.0
23;200;10;1;sqrt;10.0
24;200;10;4;0.3;
25;100;5;4;sqrt;
26;500;2;4;0.3;10.0
27;100;10;4;log2;
28;500;10;4;0.3;20.0
29;100;5;1;log2;20.0
30;200;2;4;sqrt;
