Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;sqrt;
2;300;2;4;sqrt;
3;300;5;4;sqrt;
4;300;5;1;0.3;
5;300;5;1;sqrt;
6;500;5;1;sqrt;10.0
7;300;5;2;0.3;10.0
8;100;5;4;0.3;
9;200;10;1;sqrt;10.0
10;100;5;2;0.3;
11;500;10;4;sqrt;20.0
12;300;2;2;0.3;10.0
13;100;2;2;sqrt;20.0
14;200;10;4;0.3;10.0
15;200;5;2;sqrt;
16;500;5;1;0.3;10.0
17;500;10;2;0.3;10.0
18;200;5;2;0.3;
19;500;2;1;0.3;10.0
20;300;10;4;sqrt;10.0
21;300;2;4;log2;20.0
22;500;2;2;log2;
23;100;10;1;sqrt;10.0
24;300;5;2;sqrt;
25;500;5;2;log2;10.0
26;200;10;4;sqrt;20.0
27;200;10;2;log2;10.0
28;300;2;1;0.3;10.0
29;300;5;2;0.3;
30;500;5;1;log2;10.0
