Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;2;log2;
2;100;10;1;0.3;20.0
3;200;10;1;0.3;20.0
4;500;10;1;0.3;20.0
5;300;5;1;0.3;10.0
6;100;5;4;sqrt;10.0
7;100;10;2;0.3;20.0
8;100;5;4;log2;10.0
9;500;5;1;log2;10.0
10;300;5;1;sqrt;10.0
11;200;2;1;sqrt;20.0
12;100;5;2;0.3;
13;300;10;2;sqrt;10.0
14;200;10;4;0.3;
15;100;2;4;0.3;20.0
16;300;5;4;sqrt;20.0
17;100;2;1;sqrt;20.0
18;500;2;1;0.3;
19;500;10;4;log2;
20;100;10;4;log2;
21;200;5;4;0.3;20.0
22;500;2;1;sqrt;10.0
23;100;10;2;0.3;10.0
24;100;2;1;sqrt;10.0
25;200;10;1;log2;
26;200;10;2;0.3;10.0
27;200;2;1;0.3;20.0
28;100;5;4;0.3;10.0
29;200;2;4;log2;20.0
30;500;2;2;sqrt;10.0
