Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;sqrt;
2;100;5;1;sqrt;
3;500;2;1;sqrt;20.0
4;100;5;2;0.3;10.0
5;100;2;2;0.3;10.0
6;200;5;2;log2;
7;300;5;1;sqrt;
8;200;5;2;0.3;20.0
9;100;2;4;0.3;10.0
10;300;2;4;0.3;10.0
11;300;2;2;log2;
12;300;5;1;log2;10.0
13;500;5;1;log2;10.0
14;100;10;2;sqrt;10.0
15;300;2;1;sqrt;
16;300;10;2;0.3;10.0
17;100;5;1;log2;
18;500;2;1;log2;
19;500;10;1;0.3;10.0
20;500;5;4;sqrt;
21;300;5;1;0.3;10.0
22;300;2;1;0.3;10.0
23;100;5;4;sqrt;
24;100;10;2;log2;10.0
25;100;10;1;sqrt;20.0
26;200;2;2;log2;20.0
27;200;5;1;sqrt;10.0
28;100;2;1;sqrt;10.0
29;200;10;4;sqrt;
30;200;5;4;sqrt;20.0
